ID,Label
1,Roberto Manuel Torresi
2,Maria Rita dos Santos e Passos Bueno
3,Claudio Landim
4,Suely Kazue Nagahashi Marie
5,Ana Maria Jansen Franken
6,Fabiano Lopes Thompson
7,Yoshiko Wakabayashi
8,Flavio Pereira Kapczinski
9,Tsai Siu Mui
10,Wagner Farid Gattaz
11,Benedito Sérgio Denadai
12,Antonio Jose Teixeira Guerra
13,Reuven Opher
14,Antonio Pedro Novaes de Oliveira
15,Iná da Silva dos Santos
16,Sandra Helena Poliselli Farsky
17,Maria Fernanda Furtado de Lima e Costa
18,Carlos Alberto Scapim
19,Diogo Onofre Gomes de Souza
20,Paulo Roberto de Souza Mendes
21,Carlos Alberto de Souza Costa
22,Ruben George Oliven
23,Frederico Falcão Salles
24,Raghuvir Krishnaswamy Arni
25,Walter Jose Botta Filho
26,Pedro Manoel Galetti Junior
27,Alvaro Penteado Crósta
28,Thelma Leite de Araujo
29,Flavio Fernando Demarco
30,Gilberto Fillmann
31,Fernando Alves Rochinha
32,Carlos Roberto de Souza Filho
33,Marcos Antonio Rossi
34,Anete Pereira de Souza
35,Jacques Hubert Charles Delabie
36,Roland Vencovsky
37,Elizabeth Igne Ferreira
38,Helder Ferreira de Mendonça
39,Patricia Rieken Macedo Rocco
40,Nadya Araujo Guimarães
41,Massuo Jorge Kato
42,Holmer Savastano Junior
43,Charbel Nino El Hani
44,Bernadette Dora Gombossy de Melo Franco
45,Gilson Rogério Zeni
46,Carlos Rogério de Mello
47,Douglas Soares Galvão
48,Marcello Guimaraes Simoes
49,Christovam Barcellos
50,Sebastiao de Campos Valadares Filho
51,Osvaldo A Serra
52,Henrique Eisi Toma
53,Wagner Cotroni Valenti
54,Ana Maria Baptista Menezes
55,Sebastião do Amaral Machado
56,Reinaldo Giudici
57,Jorge Alberto Vieira Costa
58,Jose Ademir Sales de Lima
59,Maurício Lacerda Nogueira
60,Aldo Jose Gorgatti Zarbin
61,Maura da Cunha
62,Vitor Francisco Ferreira
63,Virgilio Augusto Fernandes Almeida
64,Jose Eduardo Tanus dos Santos
65,Sergio Teixeira Ferreira
66,Eneida Leal Cunha
67,Carlos Augusto Fernandes de Oliveira
68,Adriano Defini Andricopulo
69,Antonio Luiz Braga
70,Luiz Cláudio de Almeida Barbosa
71,Rodrigo Lambert Oréfice
72,Moacir Wajner
73,Elbert Einstein Nehrer Macau
74,Maysa Furlan
75,Jose Viriato Coelho Vargas
76,Benar Fux Svaiter
77,Reinaldo Martinez Palhares
78,Maria das Gracas Cardoso
79,Gastão Inácio Krein
80,Elina Bastos Caramao
81,Fernando Ferreira
82,Antonio Ferreira da Silva
83,Solange Cristina Garcia
84,Elcio Marcantonio Junior
85,Hellmut Eckert
86,Humberto Tonhati
87,Lauro Tomio
88,Luiz Carlos Dias
89,André Victor Lucci Freitas
90,Daniela Lazzaro
91,Suzana Pasternak
92,Edson dos Santos Marchiori
93,Luiz Vicente Rizzo
94,Bernardo Lessa Horta
95,Maria Jose Pacifico
96,Mario Jose Abdalla Saad
97,Jurandir Nadal
98,Solange Maria Gennari
99,Othon Cabo Winter
100,Ana Luiza Silva Maia
101,Leonor Costa Maia
102,Luis Carlos de Souza Ferreira
103,Renato de Oliveira Resende
104,Marcos Antonio Machado
105,Norberto Garcia Cairasco
106,Jose Mario Martinez Perez
107,Eduardo Luiz Damiani Bica
108,Itabajara da Silva Vaz Junior
109,Carísi Anne Polanczyk
110,Mutue Toyota Fujii
111,Samir Maghous
112,Joao Carlos Setubal
113,Luís André Nassr de Sampaio
114,Nilton Curi
115,Marco Aurelio Zezzi Arruda
116,Marcus Andre Barreto Campelo de Melo
117,Joao Batista Calixto
118,Lucymara Fassarella Agnez Lima
119,Lucidio Bianchetti
120,Joel Birman
121,José Roberto Castilho Piqueira
122,Antonio Carlos Wolkmer
123,Antonio Costa de Oliveira
124,Carlos Alexandre Costa Crusciol
125,Jorge Elias Kalil Filho
126,Luís Reynaldo Ferracciú Alleoni
127,Marcelo Knobel
128,Roberto Acízelo Quelha de Souza
129,Maria Claudia Costa Irigoyen
130,Rogerio Pereira Bastos
131,Giselda Durigan
132,Ricardo Tadeu Lopes
133,Nivio Ziviani
134,Maria Cristina da Silva Leme
135,Ana Fani Alessandri Carlos
136,Celina Miraglia Herrera de Figueiredo
137,Renato Machado Cotta
138,Ronaldo Lopes Oliveira
139,Alessandra Gotuzo Seabra
140,Ana Lúcia Severo Rodrigues
141,Benildo Sousa Cavada
142,Paulo Cesar Ocheuze Trivelin
143,Heraldo Luis de Vasconcelos
144,Jorge Ferreira da Silva
145,Odair Correa Bueno
146,Gustavo Henrique Goldman
147,Julio Scharfstein
148,Maria Christina Werneck de Avellar Winston
149,Joao Andrade de Carvalho Junior
150,Marcio da Silveira Carvalho
151,Walter Lilenbaum
152,Alvaro Pacheco e Silva Filho
153,Leo Afraneo Hartmann
154,Celio Fernando Baptista Haddad
155,Tania Ueda Nakamura
156,Altair Antoninha Del Bel Cury
157,Paulo Cezar de Freitas Mathias
158,Paulo Cezar Vieira
159,Edgar Dutra Zanotto
160,Laerte Sodré Junior
161,Jose Rubens Pirani
162,José Alexandre de Souza Crippa
163,Luciano da Fontoura Costa
164,Vanderley Moacyr John
165,Afonso Luís Barth
166,Norberto Peporine Lopes
167,Jose Alexandre Felizola Diniz Filho
168,Rosa Ester Rossini
169,Regina Horta Duarte
170,Alexandre Mendes Abrao
171,Paulo Eduardo Artaxo Netto
172,Ruy Exel Filho
173,Paolo Di Mascio
174,Roberto Mendonca Faria
175,Reinaldo José da Silva
176,Dionisio Bazeia Filho
177,Maria Helena de Moura Neves
178,Yan Levin
179,Sadhan Kumar Adhikari
180,Roy Edward Bruns
181,Edilberto Rocha Silveira
182,Maria Luiza Vilela Oliva
183,Sidney Jose Lima Ribeiro
184,Isabel Cristina Sobreira Machado
185,Adriana Raffin Pohlmann
186,Nildo da Silva Dias
187,João Antonio Martino
188,Francisco Hilario Rego Bezerra
189,João Graciano Mendonça Filho
190,Leda Verdiani Tfouni
191,Mercedes Maria da Cunha Bustamante
192,Sergio Schenkman
193,Milena Botelho Pereira Soares
194,Paulo Batista Gonçalves
195,Rubén Augusto Romero Lázaro
196,Sebastiao de Sousa Almeida
197,Marcelo Bahia Labruna
198,Hernandes Faustino de Carvalho
199,Hermi Felinto de Brito
200,Regina de Fátima Peralta Muniz Moreira
201,Ronaldo Vainfas
202,Orlando Fatibello-Filho
203,Marcos Farina de Souza
204,Rubens Maciel Filho
205,Jose Geraldo Mill
206,Eduardo de Sá Mendonça
207,Oscar Jose Pinto Eboli
208,Andrea Brito Latge
209,Newton Sabino Canteras
210,Alexander Henning Ulrich
211,Francisco Castilho Alcaraz
212,Benedito Honorio Machado
213,Reinaldo Morabito Neto
214,Marcos Assuncao Pimenta
215,Ronald José Raminelli
216,Amelia T Henriques
217,Antonio Salvio Mangrich
218,Fernando Cendes
219,Maria Angela de Almeida Meireles Petenate
220,Helio Langoni
221,Antonio Fernando Bertachini de Almeida Prado
222,Thereza Christina Barja Fidalgo
223,Jose Carlos Maldonado
224,Victor Carlos Pandolfelli
225,Alicia Juliana Kowaltowski
226,Miguel Daniel Noseda
227,Carlos Nelson Elias
228,Monica Roberto Gadelha
229,Alice Ribeiro Casimiro Lopes
230,Maria Itayra Coelho de Souza Padilha
231,Marcelo Marcos Morales
232,Ilse Maria Beuren
233,Nelson Maculan Filho
234,Jairo Kenupp Bastos
235,Eloisa Silva Dutra de Oliveira Bonfá
236,Maria Fatima Grossi de Sa
237,Eliete Bouskela
238,Claudia Lucia Mendes de Oliveira
239,Francisco Humberto Nociti Junior
240,Leticia Maria Sicuro Correa
241,Adalberto Fazzio
242,Lúcio Cardozo Filho
243,Carlos Estrela
244,Miguel Angelo Stipp Basei
245,Reginaldo Muccillo
246,Ohara Augusto
247,Rafael Roesler
248,Concepta Margaret McManus Pimentel
249,Fernando Silveira Navarra
250,Jose Artur Bogo Chies
251,Roger Walz
252,Paola Berenstein Jacques
253,Fernando Luis Medina Mantelatto
254,Alexander Wilhelm Armin Kellner
255,Marco Tulio de Mello
256,Marcus Joaquim Maciel de Carvalho
257,Raquel Souza Lobo Guzzo
258,Mara Helena Hutz
259,Jaime Eduardo Cecilio Hallak
260,Jailson Bittencourt de Andrade
261,Marcos Antonio de Souza Barrozo
262,Fernando Antonio Campos Gomide
263,Jose Vladimir de Oliveira
264,Sergio Santos de Azevedo
265,Marcos Silveira Buckeridge
266,Fernando Flecha de Alkmim
267,Joao Pereira Leite
268,Denis Moledo de Souza Abessa
269,Denise Petrucci Gigante
270,Francisco Silveira Guimaraes
271,Marcia Cristina Bernardes Barbosa
272,Marcelo Leite Lyra
273,Denise Carpena Coitinho Dal Molin
274,Ronald Cintra Shellard
275,Paulo Sávio Lopes
276,Fernando Lázaro Freire Junior
277,Paulo Romero Martins Maciel
278,Isabel Gomes Rodrigues Martins
279,Michael John Brennan
280,Dulciene Maria de Magalhães Queiroz
281,Dilce de Fátima Rossetti
282,Luiz Lehmann Coutinho
283,Rommel Mario Rodríguez Burbano
284,Claudio Benedito Silva Furtado
285,Tobias Frederico
286,Jamil Assereuy Filho
287,Odir Antonio Dellagostin
288,Érico Marlon de Moraes Flores
289,Álisson Rocha Machado
290,Alberto Henrique Frade Laender
